vocab,vocab-meaning,reading,speech-type,context-jp,context-en,context-jp2,context-en2,context-jp3,context-en3,meaning-exp,reading-exp,kanji,kanji-name,audio-a,audio-g,id,level
??,"Far Away, Distant, At A Distance, Distant Place, By Far",???,Noun and ? adjective,???????????????????????????,"I'm not wearing glasses right now, so I can't see far away objects very well.",?????????????????????,I live far away from my family.,????????????,A gunshot went off in a far off direction.,"This is the noun/no-adjective version of the kanji far, so it means far away or distant.",This uses the kun'yomi reading which you learned with ??. How convenient!,?,Far,,,2856,level18 vocab
??,"First Class, First Rank, The Best",????,Noun and ? adjective,?????????????????????,"You are in the first-class carriage, yeah? That's so like you, Koichi!",??????????????????????????????????,They must be making a ton of money if they have an office at the best location in Ginza.,??????????????????????????????????????????????,I won this bacon keychain when I took first prize in the bacon costume competition.,"When you're equal to one you are the very top. You are first class and first rank. In fact, you are the best.","This is a jukugo word, which usually means on'yomi readings from the kanji. If you know the readings of your kanji you'll know how to read this as well. ?? gets shortened to ?? though, so watch out for that if you want to remain the best, yeah?","?, ?","One, Equal",,,2857,level18 vocab
??,"Five Flat Objects, Five Sheets",???,Noun,????????????????????,I went to a post office and bought five postcards.,??????????????????????????!??????????????????????????!,"I said I would need five sheets of copy paper, not three, didn't I? Why can't you even do something this easy, Koichi?!",????????????????????????????,Sounds like a plan. I’ll give you five extra stickers as a bonus too.,"You know that ? is a flat objects counter. So, now we're counting! You have five flat objects.","This is a jukugo word, which usually means on'yomi readings from the kanji. If you know the readings of your kanji you'll know how to read this as well.","?, ?","Five, Flat Objects Counter",,,2858,level18 vocab
??,"Flat Object, Clothing Items, Sheets, Flat Object Counter",??,Counter,??????????????????????????,I have ten tickets for the soccer game on Sunday.,??????????????????,My breakfast is usually just one slice of toast.,Tofugu???????????????????????????????,"I’d like to buy some Tofugu stickers, how much would one be?","This is a counter that can be used with various ""flat"" things, which is why it is referring to a flat object. Other things it can refer to include clothing items, sheets, paper, stamps, dishes, and more. Notice how they're all kind of flat shaped?",This is a jukugo word that uses the on'yomi readings of the kanji. You should be able to read this on your own.,?,Flat Objects Counter,,,2859,level18 vocab
??,"Forbidden, Prohibition, Ban",???,Noun and ?? verb,?????????????????????????,Viet admonished his soldiers because gambling is forbidden.,??????Youtube???????????????????????,Tofugu was banned from publishing videos by the Youtube censors.,??????????????????!???????????!,Don’t take off your spacesuit! It’s one of the things that’s prohibited.,"Stop! That's prohibition (prohibited)! When something is prohibited and you're forced to stop, that thing is obviously forbidden. If you see this you should probably not do the thing it's telling you not to do.","This is a jukugo word, which usually means on'yomi readings from the kanji. If you know the readings of your kanji you'll know how to read this as well.","?, ?","Prohibit, Stop",,,2860,level18 vocab
??,Forecast,???,Noun and ?? verb,?????????????????????????????,It slipped my mind that the forecast had said that it would rain in the afternoon.,????????????????????????????,"The weather girl said the forecast is calling for hot weather, starting tomorrow.",?????????????????????????????,"According to the weather forecast, this year Canada is expecting snow all year round.","A news report that covers things beforehand (before they happen) is a forecast. For example, a weather forecast is a ????.","This is a jukugo word, which usually means on'yomi readings from the kanji. If you know the readings of your kanji you'll know how to read this as well.","?, ?","Beforehand, News",,,2861,level18 vocab
???,Friday,?????,Noun,????????????????????,"You haven't forgotten that we planned to go out for drinks Friday night, have you?",??????????????????????????????,Viet makes a backup of our data every Friday night.,???????????????????????????????????????????????????,"""When will my Fugu costume be ready?"" ""It’ll be ready by Friday afternoon.""",This is a day of the week. You know this because it has ?? in it. But what day of the week is it? The gold day of the week is the greatest day. It's the day that makes you feel like gold because it's the end of the weekdays and the beginning of the weekend! This day is Friday.,"This is a jukugo word, which usually means on'yomi readings from the kanji. If you know the readings of your kanji you'll know how to read this as well. It will help to know the word ?? as well.","?, ?, ?","Gold, Weekday, Sun",,,2862,level18 vocab
??,"Friend, Companion",????,Noun,???????????????????????,Please add me to your friends list.,?????????????????????????,My friend told me that this is a no-parking area.,???????????????????????!???????!?,"""Thank you for taking my side."" ""What are you talking about? We’re friends, aren’t we?""","A friend that you attain is your friend. This is the most common way to say ""friend,"" so learn it if you want to make any!","The readings for both of these are readings you haven't learned yet, though maybe you already know this word since it's fairly common. Think of it this way. You have your friend Tom (??) Cruise. You like him, and he likes you. You're close enough friends that you can touch (??) each other too. Like, on the shoulder or on the hand or whatever, without it being awkward. So, you like to Tom touch (????) when you can, because he has nice skin.","?, ?","Friend, Attain",,,2863,level18 vocab
??,Ginza,???,Proper noun,????????????????????????????,It took forever to get through the traffic around Ginza.,??????????????????????????????????,"When my cousin was walking in Ginza, she was interviewed by a TV crew.",????????????????????????????????,"If you want to find a clever lover, maybe you should go to Ginza, Tokyo.",The silver seat isn't some crazy kingdom where the king sits upon a silver seat. It is a famous place in Tokyo. Perhaps if you read the reading it will become more apparent what the meaning is (since they're the same). This silver seat place is Ginza.,"This is a jukugo word, which usually means on'yomi readings from the kanji. If you know the readings of your kanji you'll know how to read this as well.","?, ?","Silver, Sit",,,2864,level18 vocab
??,"Goods, Article, Item, Thing",????,Noun,???????????????????????????????,Please write the name of the goods you'd like and reply to this tweet.,??????????????????????,There are almost no goods in the grocery store around this time.,??????????????????,"As soon as the item arrives, I'll contact you.",A product thing is any type of general goods. It's about as specific as you can get when you're talking about things like this.,"Think of it like a video game. The first time you see new goods there's a sheen (??) about it. But when you bring it back to your place, the sheen is gone. Then when you go back to the store, wow! All the goods you don't already own have that sheen! Gotta buy them!","?, ?","Product, Thing",,,2865,level18 vocab
???,"Graffiti, Scribble, Sketch",????,Noun and ?? verb,???????????????????????????????????,Koichi's sketches have increased in value by as much as a million dollars at auctions.,????????????????????????????????????????????,"There used to be lot of graffiti along the underground passages at Shinjuku Station a long time ago, but we rarely see them now.",????????????????????????????????????????????????????????????????,Spray-painting graffiti is already a bit old-fashioned. The newer artists create works of art by scrubbing the dirt off the wall.,"When writing just happens to ""fall"" on the wall (whoops, wasn't me who did that, how strannnnge) it's writing that's not supposed to be where it is. This kind of writing is graffiti.","This is a jukugo word, which usually means on'yomi readings from the kanji. ?, however, is kun'yomi in this case and also has rendaku. So just remember that it's read as ? for this vocab and you'll be fine.","?, ?","Fall, Write",,,2866,level18 vocab
???,"Hand Baggage, Hand Luggage, Cabin Baggage, Carry On",????,Noun,????????????,Did you forget your carry on?,????????????????????,You can leave your baggage at the front desk.,???????????????????????????????,I think it would definitely take more than thirty minutes to go through customs and baggage claim.,Remember ?? and how it means "baggage" or "luggage." Add a hand to it and you have hand baggage or hand luggage.,"If you know ?? and you know ?, then you should be able to Voltron the two together into one mega reading.","?, ?, ?","Hand, Luggage, Thing",,,2867,level18 vocab
??,"Happiness, Luck, Fortune",????,"Adverb, Noun, and ? adjective",???????????????????????????,"Luckily, an empty taxi just came.",???????????????,I'm happy that I was able to help you.,????????????????,"Fortunately, it was not life-threatening.",Happiness is happiness!,"Since this word consists of a kanji with hiragana attached, you can bet that it will use the kun'yomi reading. You haven't learned this reading yet so here's a mnemonic to help you: If your life is filled with nothing but happiness, every time someone says something to you, all you can do is say, ""Sigh, what (???)?"" You sigh and say what. Because you're too happy to really listen. You're just sighing all day and not paying attention.",?,Happiness,,,2868,level18 vocab
??,"High Class, High Grade",????,"Noun, ? adjective, and ? adjective",??????????????????,"You have an extraordinarily high class technique like that, huh?",?????????????????????????????????????,"My son is still an elementary school kid, but he is studying high grade mathematics at a cram school.",?????????????????????,Please tell me about higher education in your country.,"When you are higher than equal, you are above the very top, you are above everyone. You are high class.",This is a jukugo word that uses the on'yomi readings of the kanji. You should be able to read this on your own.,"?, ?","Tall, Equal",,,2869,level18 vocab
??,"How Many Flat Objects, How Many Sheets",????,Noun,??????????????????????,Bacon is so tasty that I can eat an unlimited number of strips.,????????????????????,About how many tickets have you sold so far?,?????????????????????????????????,"How many stickers do you want? For a large amount, we could give you a discount.","You have flat objects but what amount of flat objects? This word is asking that question: ""how many flat objects are there?"" If this doesn't make sense, think back to words like ?? or ?? which ask ""how many ____"" just like this one.","This is a jukugo word, which usually means on'yomi readings from the kanji. If you know the readings of your kanji you'll know how to read this as well.","?, ?","What, Flat Objects Counter",,,2870,level18 vocab
???,"Indispensable, Essential",????,Noun and ? adjective,?????????????????????,"When I go to the beach, sunscreen is essential.",?????????????????????????????,What do you think would be essential to becoming fluent in Japanese?,????????????????????????????,Tasty bacon is indispensable in promoting efficient work.,"It's not possible to lack. It is indispensable and essential, so don't lack it!","This is a jukugo word, which usually means on'yomi readings from the kanji. If you know the readings of your kanji you'll know how to read this as well.","?, ?, ?","Not, Possible, Lack",,,2871,level18 vocab
??,"Inequality, Disparity",???,"Noun, ? adjective, and ? adjective",???????????????????????????????,Koichi doesn't want to distribute Tofugu's profits unevenly.,?????????????????????????,Do you know the formula to find the area of a scalene triangle?,?????????????,I’m pretty good at simultaneous inequalities.,When something is not equal it suffers from inequality.,"This is a jukugo word, which usually means on'yomi readings from the kanji. If you know the readings of your kanji you'll know how to read this as well.","?, ?","Not, Equal",,,2872,level18 vocab
??,"Information, Data",?????,Noun,??????????????????????????????????,Where did you get the information that they were brutally murdered in their beds?,??????????????????????????,Does Tofugu have any data-handling rules?,????????????????????????????????????????????????,"Well, I’d like to stop by later to exchange information on the WaniKani project, if it’s okay with you.","The feeling of news is that it should give you information and data, not fluff.","This is a jukugo word, which usually means on'yomi readings from the kanji. If you know the readings of your kanji you'll know how to read this as well.","?, ?","Feeling, News",,,2873,level18 vocab
???,Kansai Dialect,??????,Noun,???????????????????????,I heard poop is called baba in Kansai dialect.,??????????????????????,"It's really scary when people complain in Kansai dialect, isn't it?",????????????????????????????????????????????????????????????????????????????????????????????????????,"He said things to me like, “I hate you” and “go home” and it sounds awful, doesn’t it? But I actually thought it was pretty cool because he said it all using Kansai dialect. It was really hot.","Do you remember ??, which is the Kansai region of Japan? Well, they have their own dialect, and it is Kansai Dialect.","The reading is the vocab ??'s reading and the kanji reading of ?, combined.","?, ?, ?","Related, West, Dialect",,,2874,level18 vocab
??,"Kind, Type",????,Noun,??????????????????,There are sure are a lot of different types of people in the world.,?????????????????????????,This rose is actually a different type than that one.,?????????????????????????????????????????????????,Viet has downloaded all kinds of programs to prepare against any unexpected situations.,"The kind and type is the kind or type. Basically, if you know the meaning of either of these kanji you'll know the meaning of this word as well, since they all share nicely.","This is a jukugo word, which usually means on'yomi readings from the kanji. If you know the readings of your kanji you'll know how to read this as well.","?, ?","Kind, Type",,,2875,level18 vocab
??,Kowtow,????,Noun and ?? verb,?????????????????????,"""Kowtow"" is what is called ""dogeza"" in Japan.",??????????????????????,Everyone in the room kowtowed toward the king.,?????????????????????????,"Since the man refused to kowtow, he was put into a jail.","Strike your head against the floor to show your subservient respect by doing the kowtow bow. This is the most respectful bow you can possibly do. (Thank you China, for bringing this word into Japanese and thank you Japanese for bringing this into English.)","This is a jukugo word that uses the on'yomi readings of the kanji. You haven't learned this reading for ? yet, so here's a mnemonic to help you: They used to make you kowtow every single time you came to ?????. That's full on head to floor kowtowing in front of everyone who is already in ????? to prove that you appreciate being there. They might even make you do it these days too, if you're not being respectful enough while you're there.","?, ?","Strike, Head",,,2876,level18 vocab
???,"Kun'yomi, Kun Reading, Japanese Reading",????,Noun and ?? verb,?????????????????????,This kanji can be read with either the kun'yomi or on'yomi readings.,????????????????????,Do you know this kanji's kun'yomi?,???????????????????,I mix up kun’yomi and on’yomi all the time.,"The instruction reading may not make a lot of sense, but you've heard this word before. Jump to the reading and you'll know what the meaning of this word is.","The reading is the word ?? (like ??) and the reading you learned for ? combined, making ????. Sounds familiar? It's that kun'yomi reading you've heard so much about.","?, ?","Instruction, Read",,,2877,level18 vocab
??,"Larynx, Voice Box",????,Noun,??????????????,The larynx is one part of the Adam's apple.,????????????????????????,Laryngeal cancer is often caused by smoking and drinking.,?????????????????????????,"Because of my laryngeal inflammation, it's painful for me to even breathe or drink water.","The body part that lives between your throat and your head is your larynx. Otherwise known as the voice box, because your vocal cords live in there.","This is a jukugo word that uses the on'yomi readings of the kanji. You haven't learned this reading for ? yet, so here's a mnemonic to help you: If you really want to get a larynx work out, go to ?????. It's loud, it's crowded, and you have to yell the entire time to get people to hear what you have to say. You also know 18 levels of kanji and you really want to shout them all out, which makes your voice box tired (but makes you happy).","?, ?","Throat, Head",,,2878,level18 vocab
??,"Lesson, Moral",?????,Noun and ?? verb,???????????????????????,What moral can you draw from Koichi's story?,??????????????,I'll keep this lesson in mind.,?????????????????????,Tell me about the biggest lesson you learned from your previous company.,"At least way back in the day, things that teach instructions to people are things that teach a lesson or moral. Back in the day, lots of learning was done through storytelling, and storytelling taught lessons and morals, thus, this word.","This is a jukugo word, which usually means on'yomi readings from the kanji. If you know the readings of your kanji you'll know how to read this as well.","?, ?","Teach, Instruction",,,2879,level18 vocab
???,Lullaby,?????,Noun,???????????????????????,Kristen's lullaby has reached the professional level.,???????????????????,What's the most popular lullaby in America?,????????????????????,It's a lullaby that was sung for me when I was little.,A song you sing to protect your child while they sleep is called a lullaby.,"The readings for this word are all kun'yomi readings. You haven't learned this reading for ? yet, so here's a mnemonic to help you: When you finish singing a lullaby to your child they always ask for more (??). It doesn't matter how many you sing, they always want at least one more before they will fall asleep.","?, ?, ?","Child, Protect, Song",,,2880,level18 vocab
??,"Mankind, Race Of People, Humanity, Humankind",????,Noun,??????????????????,What do you think is the greatest enemy of mankind?,??????????!,You are a disgrace to the human race!,????????????????????????????????????,Aya insisted that bacon is one of the most important things for humankind to hand down to future generations.,"If you categorize people into types, you have different races of people. Or, you can categorize people as one type of ""people"" in this universe. If you did this, you'd call us mankind.","This is a jukugo word, which usually means on'yomi readings from the kanji. If you know the readings of your kanji you'll know how to read this as well.","?, ?","Person, Type",,,2881,level18 vocab
??,"Master, Expert",????,Noun,???????????????????????????,"If you won't put all your eggs in one basket, you won't be a real master.",??????????????,Viet is a master of the camera.,??????????????????????????????????,My dad is famous for being a world-level master in the realm of pizza delivery.,"A person who has ""attained"" is someone who knows much. He/She is a master or expert, obviously.","This is a jukugo word, which usually means on'yomi readings from the kanji. If you know the readings of your kanji you'll know how to read this as well.","?, ?","Attain, Person",,,2882,level18 vocab
???,Monday,?????,Noun,???????????????????????????????????????????????,"On Monday, I forgot to turn off the bath, it overflowed, and our place was flooded.",?????????????????????,Please pay the examination fee through your bank by Monday.,????????????????????????????????????????????????????????????,"On Monday, I would like to watch some fun movies with you, like a steamy romance or blood-curdling horror film. How does that sound?","This is a day of the week. You know this because it has ?? in it. But what day of the week is it? The ""moon"" day of the week is monday. Why? Because ""Moon"" is pretty much just ""Mon,"" right?","This is a jukugo word, which usually means on'yomi readings from the kanji. If you know the readings of your kanji you'll know how to read this as well. It will help to know the word ?? as well.","?, ?, ?","Moon, Weekday, Sun",,,2883,level18 vocab
??,News Report,????,Noun and ?? verb,?????????????????????????????,All of my coworkers knew about the news report already.,?????????????????????????????,How will this terrorist attack be reported in Japan?,??????????????????????20???????????????????,"According to the news report, twenty fish were transported to a local hospital after a pileup that occurred early this morning.",The way of news is to do lots of news reports.,"This is a jukugo word, which usually means on'yomi readings from the kanji. If you know the readings of your kanji you'll know how to read this as well.","?, ?","News, Road",,,2884,level18 vocab
??,No Smoking,????,"Noun, ?? verb, and ? adjective",????????????????????????????,How could I forget that this is a no smoking area?,?????????????????????,I've decided to make every Monday a no smoking day.,????????????????????????????????????????????????????????????,"I told my mom to quit smoking and she told me that if she did, she would probably go crazy and my parents would get divorced.","If smoke is prohibited you probably shouldn't smoke. Aka no smoking, okay?","This is a jukugo word, which usually means on'yomi readings from the kanji. If you know the readings of your kanji you'll know how to read this as well.","?, ?","Prohibit, Smoke",,,2885,level18 vocab
??,"Number Of Sheets, Number Of Flat Objects",????,Noun,?????????????????,Could you count the number of the origami paper?,????????????????????????????????????,Can you guess how many credit cards Koichi has in his wallet at the moment?,?????????????????????????????????????????????????????????,"I’m not exactly sure how many stickers I’m going to order yet, but I think it will be at least one hundred.","You have flat objects. You have a number of them. These flat objects are flat things, right? Flat things like sheets of paper, perhaps (or other sheets of things). So, this word is number of sheets.","This is a jukugo word, which usually means on'yomi readings from the kanji. If you know the readings of your kanji you'll know how to read this as well.","?, ?","Flat Objects Counter, Count",,,2886,level18 vocab
???,Osaka Dialect,??????,Noun,??????????????????????????????,"That supervisor with the Osaka dialect always takes forever to get to the point, it's very annoying.",?????????????????????,I've put the past with my ex with the Osaka dialect behind me already.,???????????????????????????????????????????!?,"""Don’t worry. I won’t tell anyone that you speak with the Osaka dialect. Your secret is safe with me."" ""Thanks.""","Remember ?? (Osaka)? This is the dialect they speak, making this word Osaka dialect.","If you know how to read ?? you can just add ? to it and be able to read the whole thing, though maybe not in Osaka dialect. Okay, fine, it's probably the same thing in Osaka dialect.","?, ?, ?","Big, Heights, Dialect",,,2887,level18 vocab
???,"Penmanship, Way Of Writing, Manner Of Writing",????,Noun,????????????????,Kanji penmanship escapes me.,????????????????????????????,Why doesn't Tofugu have an app to teach the ways of writing?,?????????????????????????????????!,I am bored out of my mind with studying hiragana penmanship.,"This is the way of writing (kind of like how ?? is the way of seeing). A better way to say this though would be to call it penmanship, though. How's your ???? Mine is terrible.","If you know how to read ?? and ? separately, you should be able to read this one too.","?, ?","Write, Direction",,,2888,level18 vocab
??,Permission,???,Noun and ?? verb,???????????????????????????????,"If you want to use WaniKani's example sentences somewhere else, please get Mami's permission.",?????????????????????????????,I got permission to interview one of Tofugu's hardcore fans.,????????????????????????????????,"If you want to take a picture with Koichi, you need permission from Viet.","I permit that it is possible. So, go ahead, do it. I give you permission.","This is a jukugo word, which usually means on'yomi readings from the kanji. If you know the readings of your kanji you'll know how to read this as well.","?, ?","Permit, Possible",,,2889,level18 vocab
??,Pluralizing Suffix,??,Suffix,???????????????????,I wonder where Koichi and the others went.,????????????????????????,Those gangs are all Viet's sworn brethren.,???????????????,Aren’t you still minors?,You'll see this attached to other words to make them plural. That's why it's called a pluralizing suffix.,"This is almost the same reading you learned with the kanji. Remember ??? Well this is read ??. Here's a mnemonic to help you remember it: If you want to pluralize something, touch (??) it to something else. One egg touches another egg, well now they're eggs. Plural eggs! One friend? No. Touch them! Touch them right on the face. Now there are two friends. Plural friends! Thanks to the good ol' pluralizing suffix touch! Oh, and don't type the ? out when writing the answer. It's just there to let you know that there's usually something attached to this word.",?,Attain,,,2890,level18 vocab
??,Possible,???,Noun and ? adjective,??????????????????????????????????????????,Hearing that it would be possible for me to put my daughter in daycare this spring lifted a huge weight off my shoulders.,???????????????????????????,Please present a few more possible solutions.,?????????????????????????,I’d say earning a hundred million dollars a year is possible.,"The ability is there, so it is possible... wait, there's enough ability to make this possible? Let's do it!","This is a jukugo word, which usually means on'yomi readings from the kanji. If you know the readings of your kanji you'll know how to read this as well.","?, ?","Possible, Ability",,,2891,level18 vocab
??,Postcard,???,Noun,?????????????????????,Could I borrow the postcard for a moment?,????????????????????????????????????????????????,"I bought postcards at the post office, but it seems that I left them there after paying.",??????????????????????????????????????????????????Tofugu??????????????????????????,"I received a weird postcard saying that Koichi is actually the prince of a secret country, but he is living incognito as the Tofugu president in Portland, Oregon for some unavoidable reason.","A writing that you put on a leaf is like something else. Instead of a leaf, think about writing you put on a leafish sized item. A postcard perhaps?","The reading is kind of weird, sorry. The reading for ? is the ? you know and love. Then, ? is ?? despite not having a ? on the end like you'd expect. So, it's weird. It's shortened like a postcard is a shortened letter, I suppose? Technically it is the ?? reading, but keep in mind that ?? gets rendaku'd.","?, ?","Leaf, Write",,,2892,level18 vocab
??,"Prayer, A Prayer",???,"Noun, ?? verb, and ? adjective",????????????????????,I'm praying for my visa to be issued without any issues.,??????????????????????????????,Koichi can do the war dance of the Martians.,???????????????????!??????????????,"""May Salmon’s surgery go well,"" Fugu prayed to God.",You pray and request. This is your prayer.,"This is a jukugo word, which usually means on'yomi readings from the kanji. If you know the readings of your kanji you'll know how to read this as well.","?, ?","Pray, Request",,,2893,level18 vocab
??,"Prayer, A Prayer",???,Noun and ?? verb,??????????????????,All people around the world are praying.,??????????????????????????,I'll attend the peace memorial service for atomic-bomb victims tomorrow.,Tofugu?????????????????!,"Let’s pray for more and more growth and prosperity for Tofugu, cheers!",Your thoughts are prayers. These pray thoughts are prayers.,"This is a jukugo word, which usually means on'yomi readings from the kanji. If you know the readings of your kanji you'll know how to read this as well.","?, ?","Pray, Thought",,,2894,level18 vocab
??,"Public Notice, Public Announcement",????,Noun and ?? verb,??????????????????,"Did you already see Tofugu's public, financial announcement?",?????????????????????????????????????????,Tofugu decided to put up an important public notice about Koichi in an official telegram.,???????????????????????????????????,"There is a law in Japan called the Electronic Public Notice Regulation, do you have anything like that in your country?",A public announcement is a public notice.,"This is a jukugo word, which usually means on'yomi readings from the kanji. If you know the readings of your kanji you'll know how to read this as well.","?, ?","Public, Announce",,,2895,level18 vocab
??,Quiet,???,? adjective,?????????????????,We'd prefer a house on a quiet street.,?????????????????????????????,"I know you have diarrhea, but could you keep it down a bit more, please?",???????????????????????????????,"When Koichi and Viet got in, the taxi quietly started to move.","This is the ? adjective form of quiet, which is kind of just like the noun, anyways. What is the adjective version of quiet? It's also quiet.","Since this word consists of a kanji with hiragana attached, you can bet that it will use the kun'yomi reading. You didn't learn that reading with this kanji, so here's a mnemonic to help you: You need to be quiet. She's (??) being nice and quiet, unlike you!",?,Quiet,,,2896,level18 vocab
??,"Race Of People, Race",????,Noun and ? adjective,??????????????????,There's a wide variety of different races in this city.,?????????????????????????????,I don't really like racial jokes.,???????????????????????????????????????????,My father is a racist and yet he tells me that it’s wrong to judge people based on their race.,"A kind or type of person is when you categorize a person into different types. How do we do that? Well, you categorize by race of people (or more simply by race).","This is a jukugo word, which usually means on'yomi readings from the kanji. If you know the readings of your kanji you'll know how to read this as well.","?, ?","Person, Kind",,,2897,level18 vocab
??,"Refinement, Polish",????,Noun and ?? verb,????????????????????????????????,I'll never forget the look of Koichi's refined face.,?????????????????????????????????????????,Koichi is trying to polish a rough draft of his poetry for the poem contest in October.,???????????????????????????????,I didn’t know that Salmon spoke in such refined Japanese like that.,"You take your practice and you wash it. Slowly chunks fall off and it becomes more and more simple. You are washing away the gunk on the outside to attain refinement and polish yourself, via practice.","This is a jukugo word, which usually means on'yomi readings from the kanji. If you know the readings of your kanji you'll know how to read this as well.","?, ?","Wash, Practice",,,2898,level18 vocab
??,Relatives,????,Noun and ? adjective,?????????????????,I'll start by consulting elderly relatives.,????????????????????????????,"Actually, President Obama is a distant relative of Koichi.",?????????????????,He’s a really isolated guy who cut off all contact with his relatives.,"These people are kind of like a type of parents. Not quite parents, but kind of, in a pinch anyways. These are your relatives.","This is a jukugo word, which usually means on'yomi readings from the kanji. If you know the readings of your kanji you'll know how to read this as well.","?, ?","Parent, Type",,,2899,level18 vocab
??,"Renting A House, House For Rent, Rented House","????, ????",Noun and ?? verb,???????????????????????,You can't borrow money on a rented house.,??????????????????????????????,"""Tenants' Rights"" simply means you have the right to rent a house, right?",????????????????????????????????????????????????????????????????,"I’m trying to talk to Salmon about renting a house instead of buying one, but she kind of keeps skirting the issue.","When you borrow a house you are renting a house. Also, this is a house for rent.","This is a jukugo word, which usually means on'yomi readings from the kanji, but in this case the second kanji can be read as either the on'yomi or kun'yomi. You haven't seen the kun'yomi for ? yet, so here's a mnemonic to help you: If you're renting a house, someone has to give you the keys and let you in and stuff. You're only renting, after all. So when they let you in they'll say, ""Here's a shack for yah! (????) Enjoy!"" By the way, in the secondary reading, the ??? goes to ???. You'll see ???? more often, though.","?, ?","Borrow, House",,,2900,level18 vocab
??,"Report, Information",????,Noun and ?? verb,???????????????????,Shouldn't we report this to Koichi?,????????????????????????????????,Koichi gave an oral report of Tofugu's annual report for the workers.,????????????????????????????????????,I’m thinking about the funniest way to inform my boyfriend that I’m pregnant so that he won’t run away from me.,A news report that is to announce the news is a just a report. Just imagine someone announcing the news outside. They are giving you a report on the information going on with the news.,"This is a jukugo word, which usually means on'yomi readings from the kanji. If you know the readings of your kanji you'll know how to read this as well.","?, ?","News, Announce",,,2901,level18 vocab
???,"Roast Chicken, Cooked Chicken, Yakitori",????,Noun,???????????????,Yakitori is essential for my life.,??????????????????????????????????????????,My husband was too busy running his yakitori restaurant and he totally forgot about our wedding anniversary.,???????????????????????????!,Don’t blame me! I didn’t eat your yakitori.,"A baked bird isn't just any bird, it's roast chicken. You may also know it by its romanized Japanese name: yakitori.","The readings are the vocab kun'yomi readings. With ??, you can use the reading you learned with the kanji. With ? just remember back to the vocab word, ??. Combine and eat.","?, ?","Bake, Bird",,,2902,level18 vocab
???,"Roast Meat, Grilled Meat, Cooked Meat, Yakiniku",????,Noun,??????????????????,I left my camera at the yakiniku restaurant.,?????????????????????????????????????????,"They say it's harder for the person left behind than it is for the one who leaves, but this doesn't apply when we're eating grilled meat, now does it?",???????????????????????????????????,I find it really irritating when people chew yakiniku loudly.,"Mmmmm, yum! Take some meat and cook it. Then you have roast meat or cooked meat. If you go to Japan look out for ?? places (same meaning/reading). They are good, if you're into meat at least.",?? uses the reading you learned with the kanji. ? does too. Combine them together onto one skewer and enjoy.,"?, ?","Bake, Meat",,,2903,level18 vocab
???,Rough Draft,????,Noun and ?? verb,?????????????????????????,"In order to write a good article, it is important to make a rough draft.",??????????????????????????????????????????????????????,Did you know Koichi keeps the rough draft for a poem he wrote in high school in his desk drawer in the office?,?????????????????????????????????????????????,I wonder if Aya usually makes a rough pencil drafts first or if she just draws freehand.,"Something below your writing isn't what you want to necessarily publish to the world. It's below your writing, after all. This is merely a rough draft.","The reading is all kun'yomi vocab reading, as you can maybe guess from the hiragana sticking out. If you know the readings of the words ? and ?? separately, you should be able to combine them into one reading.","?, ?","Below, Write",,,2904,level18 vocab
???,"Safe, All Right, Okay",??????,"Adverb, Noun, and ? adjective",?????????????????????????,Is this sun screen safe for babies?,???????!???????,"""Achoo!"" ""Are you all right?""",????????????????????????????????????,"Anytime is okay. I’ll go with whatever time is convenient for you, so it’s whenever you’d like.","The big height of your husband makes everything safe and all right. Nothing you need to worry about when you have your super giant husband around to protect you. This is a really useful word, and it is used all the time. If someone asks: ""Are you alright?"" you could say in response ""???"" to mean you're doing all right.",This is a jukugo word that uses the on'yomi readings of the kanji. You should be able to read this on your own. Watch out for the rendaku.,"?, ?, ?","Big, Height, Husband",,,2905,level18 vocab
???,Saturday,????,Noun,????????????????????,I completely recovered from the fatigue from Saturday.,?????????????????????????,"On Saturday, I truly realized that life is easy when you are a good-looking woman.",???????????????????????????????????????????????????????????,"My stupid boss just told me that I have to work Saturday. Plus, I just caught a cold. And on top of that, my girlfriend dumped me. My life sucks.","This is a day of the week. You know this because it has ?? in it. But what day of the week is it? The earth day of the week is a day you find yourself close to the earth. Either you found you drank too much on Friday, so on this day's morning you're laying right on the ground of earth. Or, maybe you just want to sleep in after staying up late on Friday. Either way, this day you lay close to the earth is Saturday.","This is a jukugo word, which usually means on'yomi readings from the kanji. If you know the readings of your kanji you'll know how to read this as well. It will help to know the word ?? as well.","?, ?, ?","Dirt, Weekday, Sun",,,2906,level18 vocab
??,Seat,???,Noun and ? adjective,????????????????????,This seat's cushion is really comfy.,???????????????????????,I didn't know that I had to make reservations for seats.,?????????????????????????????????????????,"The moment Salmon leaned across the seat to kiss Fugu in the car, the traffic light turned green.",A sit seat is probably going to be a seat.,"This is a jukugo word, which usually means on'yomi readings from the kanji. If you know the readings of your kanji you'll know how to read this as well.","?, ?","Sit, Seat",,,2907,level18 vocab
