vocab,vocab-meaning,reading,speech-type,context-jp,context-en,context-jp2,context-en2,context-jp3,context-en3,meaning-exp,reading-exp,kanji,kanji-name,audio-a,audio-g,id,level
??,"Action, Acting, Gesture, Bearing, Treatment, Behavior, Behaviour, Movement",???,Noun,?????????????????,I love to see her picking flowers.,????????????????????,What kinds of female gestures do men usually like?,??????????????????,I was appalled by the smoking adults’ behavior.,Things you end up doing in the grass and not inside probably take a lot of big actions and gestures. You have to do them outside on the grass because if you did them anywhere else you might break something.,"The reading is a combination of on'yomi and kun'yomi. That being said, both readings for both kanji are the readings you learned with the kanji so you should be able to read this. Just watch out because rendaku makes ?? become ??.","?, ?","Doing, Grass",,,613,level5 vocab
??,"Action, Effect, Operation",???,Noun and ?? verb,??????????????????,Teach me about the effects of alcohol.,??????????·??????????????,I learned Newton's third law of motion at school today.,?????????????????????????,Does this cake-flavored medicine have any side effects?,When you make a task you're looking for a certain action and/or effect. What task can you make right now to get the effect of learning more kanji?,"This is a jukugo word, which usually means on'yomi readings from the kanji. Remember when you learned the kanji for ? and we said you'll see some that take just ? instead of the whole ??? This is one of those!","?, ?","Make, Task",,,614,level5 vocab
??,"Air, Atmosphere",???,Noun,????????????????,Please just take the hint.,?????????????,The morning winter air is cold.,???????????????????????????????????????????????????????????,The monkey in the pirate’s space ship will be reentering the atmosphere in 3 hours. He can’t wait to draw as much air into his lungs as possible.,"The sky energy... once known of as a mystical thing that kept us from flying into space. Now we know this is the air. It can also mean atmosphere, though, because that's what a bunch of air between the earth and space is called. ?????????!","This is a jukugo word, which usually means on'yomi readings from the kanji. If you know the readings of your kanji you'll know how to read this as well.","?, ?","Sky, Energy",,,615,level5 vocab
??,"All People, Everybody",????,Noun,?????????????????,That actor is popular with everyone.,?????????????????????????,I heard that everybody likes the smell of parakeets.,???????????????,This seems to be the common impression among everybody.,"If we're talking about ten thousand persons, then we might as well be talking about all people and everybody, because that's a lot of people, you know?","The reading for ? is a bit weird. It's ?? instead of ??. So, when you think of this word and think of all people, think about how they're all cheering ""banzai!"" at the same time, together. BANZAI BANZAI ALL PEOPLE RULE.","?, ?","Ten Thousand, Person",,,616,level5 vocab
??,Ancient,???,"Adverb, Noun, and ? adjective",?????????????????,The kappa is an ancient Japanese yokai.,????????????????????????????????,"In ancient times, this pond was known as ""WaniKani Pond.""",???????????????????????????????,The toilet is a wonderful invention that has been handed down since ancient times to the present-day.,"If you come to the party wearing something really, really old, everyone will know you're from ancient times (as if your wrinkles didn't give it away already, right?).","This is a jukugo word, which usually means on'yomi readings from the kanji. If you know the readings of your kanji you'll know how to read this as well.","?, ?","Old, Come",,,617,level5 vocab
??,"An Epic, Epic, Epic Saga, Masterpiece, Masterwork, Magnum Opus",????,Noun,??????????????????,This movie is a Hitchcock epic.,????????????????????????????????????,"The title of the most epic film this century is said to be, ""A Life of Fugu.""",???????????????????????,Every score that Beethoven wrote was a masterpiece.,"The big make! What is your big make? Bigger than anything else. It is your epic (as in an epic that you write). Also could be an epic, epic saga, and masterpiece.","This is a jukugo word, which usually means on'yomi readings from the kanji. If you know the readings of your kanji you'll know how to read this as well.","?, ?","Big, Make",,,618,level5 vocab
?,"Angle, Corner","??, ??",Noun and Suffix,?????????????????,Please turn left at the next corner.,?????????????????????????????,I heard that the teacher got knocked out from hitting her head on the corner of a block of tofu.,??????,?????????????????,All three internal angles of an equilateral triangle are equal.,The kanji and the word are exactly the same. That means they share meanings as well.,"The kanji and the word are exactly the same. That means they share meanings as well. But this word has two different meanings and each one has its own reading. You should make sure you don't mix them up. The first one is the reading you learned with the kanji. ?? means angle. The second reading (??), is something you haven't learned, and it means corner. Just picture a deck of cards (??). Now take one card at a time and fold them to make a corner. Now tape those cards into all the corners of your house. Why? Because it's artsy!",?,Angle,,,619,level5 vocab
???,"Archeology, Archaeology",?????,Noun and ? adjective,??????????????????????,I’m interested in Japanese archeology.,?????????????????????,I'm going to quit this archeology job at the end of the month.,????????????????,You can study archeology at this university.,"If you often think about studying old things, it's called archeology. All archeology involves thinking about old things, at least a little bit.",This is a jukugo word that uses the on'yomi readings of the kanji. You should be able to read this on your own.,"?, ?, ?","Think, Old, Study",,,620,level5 vocab
???,"A Success, Success, Hit, Guess",???,Noun,??????????????????????????,The odds of winning the lottery are very low.,???????????????????????????,Such a weak-hit grounder can't be a hit.,?????????50????????????????????????????????????????,The party I threw for my father’s 50th birthday was a success and he even found a new girlfriend there.,This is the noun version of the kanji right. What happens when you get "a right?" You get a success.,"Since this word consists of a kanji with hiragana attached, you can bet that it will use the kun'yomi reading. You didn't learn that reading with this kanji, so here's a mnemonic to help you: You have to remember the ? portion of this word to read it. What is the correct answer that will give you a success? It is the first answer, A (?).",?,Correct,,,621,level5 vocab
???,"At Once, Right Now, Immediately, Right Away",????,Adverb,??????????????,Let's go meet them right away.,???????????1?????????????????,You can read season 1 of TextFugu right now for free.,????????????!,Be quiet and come over at once!,"You'll have to learn this word in two parts. You already know the meaning of ? because of the kanji, which means ""now."" The ?? part, however, is a new word, meaning ""soon."" The two words even start with the same ""soo"" sound. If you put these two together, you get ""now soon."" Put in better English, that's at once or right now.","Since you already know the vocab word ? (read ??), you should be able to read this word as well.",?,Now,,,622,level5 vocab
??,Beef,?????,Noun and ? adjective,????????????????????????????????????,I got off the train at a station near my home and went to the grocery store to buy beef.,?????????????????????????,"Last year, the import of UK beef was resumed.",??????????????????????????????????????????????,The beef is so undercooked. I may have a kitchen nightmare tonight because of this.,What do you call cow meat? You call it beef (what's for dinner?).,Both readings for both kanji are the readings you learned with the kanji so you should be able to read this.,"?, ?","Cow, Meat",,,623,level5 vocab
???,"Birthplace, Birth",???,Noun,??????????????????????????,"I’m Japanese, but I was born in San Francisco.",????????????????????,My wife is American-born Japanese.,??????????????????,"My birthplace is Osaka, but I was raised in Nara.",Remember how you learned that ???? means "to be born?" Well once you're born that place where it happened becomes your birthplace!,"Since this word consists of a kanji with hiragana attached, you can bet that it will use the kun'yomi reading. You learned this reading when you learned ????. Just drop the ? off the end and you have your reading!",?,Life,,,624,level5 vocab
??,"Blue, Unripe",???,? adjective,?????????,There is a blue bird.,?????????????????,"That apple hasn't ripened enough yet, has it?",??????????????????????????????,"Wow, this blue paint smells exactly like the red paint.","This is a single kanji with an ? on the end, meaning you know it's probably an adjective. What's the adjective form of blue? It's still blue!","Since this word consists of a kanji with hiragana attached, you can bet that it will use the kun'yomi reading. You didn't learn that reading with this kanji, so here's a mnemonic to help you: You have to remember the ?? portion to read this word. Think of blue things on your body. Those are bruises. Touch them. What would you say? OW! (??).",?,Blue,,,625,level5 vocab
